Sample number, Date/Time,Channel 1 (°C)
345,9/3/2020 17:14:26,34.44917
346,9/3/2020 17:14:27,34.47818
347,9/3/2020 17:14:28,34.51097
348,9/3/2020 17:14:29,34.53999
349,9/3/2020 17:14:30,34.56927
350,9/3/2020 17:14:31,34.58735
351,9/3/2020 17:14:32,34.62378
352,9/3/2020 17:14:33,34.6528
353,9/3/2020 17:14:34,34.68559
354,9/3/2020 17:14:35,34.70368
355,9/3/2020 17:14:36,34.74376
356,9/3/2020 17:14:37,34.76561
357,9/3/2020 17:14:38,34.79476
358,9/3/2020 17:14:39,34.81649
359,9/3/2020 17:14:40,34.84563
360,9/3/2020 17:14:41,34.88194
361,9/3/2020 17:14:42,34.90015
362,9/3/2020 17:14:43,34.93282
363,9/3/2020 17:14:44,34.96209
364,9/3/2020 17:14:45,34.98746
365,9/3/2020 17:14:46,35.01283
366,9/3/2020 17:14:47,35.04198
367,9/3/2020 17:14:48,35.07841
368,9/3/2020 17:14:49,35.10014
369,9/3/2020 17:14:50,35.12929
370,9/3/2020 17:14:51,35.15102
371,9/3/2020 17:14:52,35.19096
372,9/3/2020 17:14:53,35.21296
373,9/3/2020 17:14:54,35.2382
374,9/3/2020 17:14:55,35.26006
375,9/3/2020 17:14:56,35.28907
376,9/3/2020 17:14:57,35.30729
377,9/3/2020 17:14:58,35.35088
378,9/3/2020 17:14:59,35.37638
379,9/3/2020 17:15:0,35.40566
380,9/3/2020 17:15:1,35.43845
381,9/3/2020 17:15:2,35.46746
382,9/3/2020 17:15:3,35.49661
383,9/3/2020 17:15:4,35.53656
384,9/3/2020 17:15:5,35.55477
385,9/3/2020 17:15:6,35.59121
386,9/3/2020 17:15:7,35.62009
387,9/3/2020 17:15:8,35.64208
388,9/3/2020 17:15:9,35.68203
389,9/3/2020 17:15:10,35.71468
390,9/3/2020 17:15:11,35.73654
391,9/3/2020 17:15:12,35.75841
392,9/3/2020 17:15:13,35.79471
393,9/3/2020 17:15:14,35.82021
394,9/3/2020 17:15:15,35.84207
395,9/3/2020 17:15:16,35.87486
396,9/3/2020 17:15:17,35.90023
397,9/3/2020 17:15:18,35.92925
398,9/3/2020 17:15:19,35.9584
399,9/3/2020 17:15:20,35.98754
400,9/3/2020 17:15:21,36.01669
